NS,ND,NF,Entropy,LA,LD,LT,FIX,NDEV,AGE,REXP,EXP,condition,Loop,Lock,Function,Runtime,Cpu,Memory,IO,runeffect,cpueffect,memeffect,ioeffect
1,1,1,0,0.009562842,0.012908125,0.112282046,0,2,0.696608855,46,46,2,0,4,16,0,0,0,0,not,not,not,not
1,1,1,0,0.009562842,0.012908125,0.112282046,1,2,0.699814257,46,46,2,0,4,16,0,0,0,0,not,not,impmedium,not
1,2,2,0.918295834,0.006147541,0.003796507,0.060037044,1,2,0.698688602,NA,NA,1,0,0,2,0,0,0,0,not,not,not,not
1,2,3,1.058958257,0.012978142,0.053910402,0.182729769,1,2,0.697777743,68,68,4,2,0,24,1,0,0,0,reglarge,not,impmedium,not
2,4,3,1.187993235,0.084016393,0.271070615,0.063677588,1,2,0.695554069,NA,NA,0,0,0,1,0,1,0,0,not,reglarge,implarge,not
1,1,1,0,0.003415301,0.001518603,0.168486939,1,2,0.688833205,0,732,0,0,0,2,0,0,0,0,not,not,not,not
1,1,1,0,0.004781421,0.006833713,0.01590343,0,1,0.691103661,46,46,2,0,3,4,1,0,0,0,reglarge,not,not,not
1,3,3,0.485685255,0.004098361,0.088078967,0.276106534,1,2,0.690345611,37,73,0,0,0,4,1,1,0,0,reglarge,regmedium,not,not
1,1,1,0,0.003415301,0.001518603,0.168231462,1,2,0.684392658,0,732,0,0,0,2,0,0,0,0,not,not,not,not
1,1,1,0,0.00068306,0.006074412,0.01590343,0,2,0.686123309,15,742,0,0,0,5,1,0,0,0,reglarge,not,impmedium,not
1,2,2,0.566509507,0.00068306,0.009870919,0.125694578,1,2,0.685679783,NA,NA,0,0,0,2,0,1,1,0,not,reglarge,reglarge,not
1,2,2,0.522559375,0,0.012148823,0.393051031,1,2,0.602506002,46,46,0,0,0,2,0,0,0,0,not,impmedium,not,not
1,2,2,0.522559375,0,0.012148823,0.392859424,1,2,0.68281046,46,46,0,0,0,2,0,0,0,0,not,not,not,not
2,7,9,2.374334115,0.058060109,0.016704632,0.060547998,1,1,0.68309232,76,82,0,0,0,0,0,0,0,0,not,impmedium,not,not
1,7,5,2.468190949,0.019125683,0.408504176,0.187328352,1,2,0.682979711,61,187,4,0,0,18,1,0,0,0,regmedium,implarge,not,not
1,7,5,2.468190949,0.019125683,0.408504176,0.187328352,0,2,0.682979711,61,187,0,0,0,13,1,1,0,0,reglarge,regmedium,impmedium,not
1,2,3,1.583917789,0.007513661,0.018982536,0.078686849,0,2,0.549611847,0,26,0,0,0,0,1,1,0,0,reglarge,reglarge,not,not
1,1,1,0,0.006830601,0.004555809,0.015584084,1,2,0.551829307,46,46,2,0,3,4,0,0,0,0,implarge,implarge,not,not
2,7,9,2.374334115,0.015710383,0.063781321,0.056907454,1,2,0.675304143,76,82,0,0,0,0,0,0,0,0,implarge,not,not,not
1,3,3,1.206386619,0.012978142,0.023538345,0.463690362,1,2,0.670587828,0,732,1,0,0,2,1,0,1,0,reglarge,not,regmedium,not
1,3,3,1.206386619,0.012978142,0.023538345,0.463690362,1,2,0.670587828,0,732,0,0,0,16,1,0,0,0,reglarge,not,not,not
1,4,5,1.264928677,0.00136612,0.132118451,0.380277192,1,2,0.670207549,NA,NA,0,0,0,0,0,0,0,0,not,implarge,not,not
1,4,5,1.264928677,0.00136612,0.132118451,0.380277192,1,2,0.670207549,NA,NA,1,0,0,2,0,0,0,0,not,not,implarge,not
1,2,2,0.566509507,0.00068306,0.009870919,0.125694578,1,2,0.686125891,NA,NA,0,0,0,2,0,0,0,0,not,not,not,not
1,1,1,0,0.00068306,0.006074412,0.01590343,1,2,0.688234387,15,742,0,0,0,5,0,0,0,0,not,not,not,not
1,3,3,0.485685255,0.004098361,0.088078967,0.276106534,1,2,0.680352477,37,73,0,0,0,4,0,0,0,0,not,not,not,not
1,4,5,1.264928677,0.00136612,0.132118451,0.380404931,1,2,0.679709581,NA,NA,0,0,0,0,0,0,0,0,not,not,not,not
1,4,5,1.264928677,0.00136612,0.132118451,0.380404931,1,2,0.679709581,NA,NA,1,0,0,2,0,0,0,0,not,not,not,not
2,4,3,1.187993235,0.084016393,0.271070615,0.063677588,1,2,0.701983285,NA,NA,0,0,0,1,1,0,0,0,reglarge,not,not,not
1,1,1,0,0.018442623,0.01063022,0.067126525,1,2,0.706709779,9,189,2,0,0,15,0,0,0,0,implarge,not,not,not
1,2,3,1.058958257,0.012978142,0.053910402,0.182985246,1,2,0.701932185,68,68,4,2,0,24,0,0,0,0,not,not,not,not
1,1,1,0,0.009562842,0.012908125,0.112282046,1,2,0.696608855,46,46,2,0,4,16,0,0,0,0,not,not,not,not
1,1,1,0,0.003415301,0.001518603,0.168231462,1,2,0.684392658,0,732,0,0,0,2,0,0,0,0,not,not,not,not
1,2,2,0.522559375,0,0.012148823,0.392859424,0,2,0.68281046,46,46,0,0,0,2,0,0,0,0,not,not,not,not
1,2,2,0.835116495,0.016393443,0.029612756,0.071916715,1,2,0.668536144,24,24,7,2,0,26,0,0,0,0,not,not,not,not
1,2,2,0.835116495,0.016393443,0.029612756,0.071916715,0,2,0.668536144,24,24,1,0,1,0,0,0,0,0,impmedium,not,not,not
1,1,1,0,0.00136612,0.002277904,0.012646101,0,2,0.666954925,NA,NA,0,0,0,4,0,0,0,0,not,not,not,not
1,1,1,0,0.00204918,0.006833713,0.053905601,0,1,0.664935428,61,187,1,0,0,6,0,0,0,0,not,not,not,not
2,2,2,0.650022422,0.00273224,0.00531511,0.042536884,1,1,0.665011349,76,82,0,0,0,0,0,0,0,0,not,not,not,not
1,3,6,0.890829387,0.008196721,0.249810175,0.329692789,1,2,0.663367617,76,82,2,0,0,4,0,0,0,0,not,not,not,not
1,3,6,0.890829387,0.008196721,0.249810175,0.329692789,0,2,0.663367617,76,82,2,0,0,4,0,0,0,0,not,not,not,not
1,3,3,1.275763655,0.016393443,0.062262718,0.215430798,0,2,0.657552401,24,24,0,0,0,0,0,0,0,0,not,not,not,not
2,10,10,2.823187769,0.456967213,0.593014427,0.178003449,1,8,0.656482946,37,73,0,0,0,0,0,0,0,0,not,not,not,not
2,10,10,2.823187769,0.456967213,0.593014427,0.178003449,1,8,0.656482946,37,73,3,0,0,7,0,0,0,0,not,not,not,not
2,10,10,2.823187769,0.456967213,0.593014427,0.178003449,1,8,0.656482946,37,73,1,0,0,2,0,0,0,0,not,not,not,not
1,13,24,3.806340504,0.237021858,0.319665907,0.790509037,1,4,0.655587722,76,82,0,0,0,4,0,0,0,0,not,not,not,not
1,13,24,3.806340504,0.237021858,0.319665907,0.790509037,1,4,0.655587722,76,82,0,0,0,2,0,0,1,0,not,not,regmedium,not
1,13,24,3.806340504,0.237021858,0.319665907,0.790509037,1,4,0.655587722,76,82,0,0,0,2,0,0,0,0,not,not,not,not
1,13,24,3.806340504,0.237021858,0.319665907,0.790509037,1,4,0.655587722,76,82,13,0,3,50,0,0,0,0,not,not,not,not
1,13,24,3.806340504,0.237021858,0.319665907,0.790509037,1,4,0.655587722,76,82,0,0,0,12,0,0,0,0,not,not,not,not
1,13,24,3.806340504,0.237021858,0.319665907,0.790509037,1,4,0.655587722,76,82,0,0,0,0,0,0,0,0,not,not,not,not
1,4,4,1.829694925,0.005464481,0.093394077,0.098422431,1,2,0.655599821,0,18,0,0,0,0,0,0,0,0,not,not,not,not
1,1,1,0,0.00136612,0.058466211,0.062591812,0,2,0.650998819,76,82,6,0,0,20,1,0,0,0,reglarge,not,not,not
1,1,2,0.179256067,0.00204918,0.025056948,0.086734368,1,1,0.646820386,6,25,2,1,0,13,0,0,0,0,not,not,not,not
1,1,2,0.179256067,0.00204918,0.025056948,0.086734368,1,1,0.646820386,6,25,0,0,0,1,0,0,0,0,not,not,not,not
1,4,5,1.33237463,0.014344262,0.050873197,0.457367312,1,1,0.646755989,145,530,2,0,0,6,0,0,0,0,not,not,not,not
1,8,13,2.897441131,0.043032787,0.082763857,1,1,2,0.644231945,NA,NA,0,0,0,4,0,0,0,0,not,not,not,not
1,8,13,2.897441131,0.043032787,0.082763857,1,0,2,0.644231945,NA,NA,3,0,0,3,0,0,0,0,not,not,not,not
1,8,13,2.897441131,0.043032787,0.082763857,1,0,2,0.644231945,NA,NA,2,0,0,10,0,0,0,0,not,not,not,not
1,8,13,2.897441131,0.043032787,0.082763857,1,0,2,0.644231945,NA,NA,0,0,0,4,0,0,0,0,not,not,not,not
1,8,13,2.897441131,0.043032787,0.082763857,1,0,2,0.644231945,NA,NA,0,0,0,2,0,0,0,0,not,not,not,not
1,8,13,2.897441131,0.043032787,0.082763857,1,0,2,0.644231945,NA,NA,0,0,0,8,0,0,0,0,not,not,not,not
1,8,13,2.897441131,0.043032787,0.082763857,1,0,2,0.644231945,NA,NA,0,0,0,0,0,0,0,0,not,not,not,not
2,6,7,2.085484585,0.004098361,0.051632498,0.11042984,0,1,0.641709528,NA,NA,0,0,0,1,0,0,0,0,not,not,not,not
1,1,1,0,0.00273224,0.002277904,0.017372421,1,2,0.640838893,NA,NA,0,0,0,0,0,0,0,0,not,not,not,not
2,4,5,1.909776321,0.010928962,0.072133637,0.142492176,1,2,0.635438528,0,26,0,0,2,0,0,0,0,0,not,not,not,not
2,4,5,1.909776321,0.010928962,0.072133637,0.142492176,1,2,0.635438528,0,26,0,0,0,0,0,1,0,0,not,reglarge,not,not
1,1,1,0,0.00068306,0,0.075365651,1,2,0.633637338,NA,NA,0,0,0,2,0,0,0,0,not,not,not,not
1,1,1,0,0.010245902,0.032649962,0.110813055,1,2,0.628987487,96,307,0,1,0,20,0,0,0,0,not,not,not,not
1,5,13,2.804312798,0.05942623,0.353834472,0.305167018,1,2,0.470088952,37,73,0,0,0,1,0,0,0,0,not,not,not,not
1,5,13,2.804312798,0.05942623,0.353834472,0.305167018,0,2,0.470088952,37,73,0,0,0,3,0,0,0,0,not,not,not,not
1,3,3,1.521928095,0.003415301,0.003037206,0.116816759,0,2,0.564085263,0,8,0,0,0,0,0,0,0,0,not,not,not,not
1,3,3,1.521928095,0.003415301,0.003037206,0.116816759,0,2,0.564085263,0,8,0,0,0,2,0,0,0,0,not,not,not,not
1,3,4,1.620346467,0.028688525,0.128321944,0.087436929,0,2,0.625354462,NA,NA,1,0,0,10,0,0,0,0,not,not,not,not
1,3,3,1.188613659,0.032103825,0.150341686,0.20016606,1,1,0.620623796,NA,NA,0,0,0,5,0,0,0,0,not,not,not,not
2,4,3,1.567549932,0.023907104,0.236142749,0.049881842,1,1,0.620529268,0,26,3,0,0,4,0,0,0,0,not,not,not,not
2,5,4,1.831010238,0.009562842,0.213363705,0.062655681,1,2,0.618185913,177,402,0,0,0,0,0,0,0,0,not,not,not,not
2,2,2,0.949452015,0.004781421,0.008352316,0.024142556,1,2,0.615248082,0,26,0,2,0,6,0,0,0,0,implarge,not,not,not
1,2,3,1.172146704,0.012295082,0.056947608,0.241042345,1,2,0.010498868,15,36,0,0,1,4,0,1,0,0,not,regmedium,not,not
1,2,3,1.521711284,0.015710383,0.041002278,0.571309957,0,2,0.501014006,15,36,0,0,0,18,0,0,0,0,not,not,not,not
1,2,3,1.521711284,0.015710383,0.041002278,0.571309957,1,2,0.501014006,15,36,0,0,0,20,0,0,0,0,not,not,not,not
1,5,10,2.915400326,0.020491803,0.053151101,0.21447276,1,2,0.488413994,0,8,0,0,0,0,0,0,0,0,not,not,not,not
1,5,10,2.915400326,0.020491803,0.053151101,0.21447276,0,2,0.488413994,0,8,0,0,0,0,0,0,0,0,not,not,not,not
1,2,4,1.784159128,0.003415301,0.013667426,0.151944817,0,2,0.530189018,96,307,0,0,0,1,0,0,0,0,impmedium,not,not,not
1,1,2,0.831474388,0.00273224,0.01063022,0.412722744,1,2,0.609395725,30,431,1,0,0,2,0,0,0,0,not,not,not,not
1,1,2,0.831474388,0.00273224,0.01063022,0.412722744,0,2,0.609395725,30,431,2,0,0,8,0,0,0,0,not,not,not,not
1,2,2,0.522559375,0.004781421,0.006833713,0.105958996,0,1,0.609010822,52,331,0,0,0,0,0,0,1,0,not,not,regmedium,not
1,2,2,0.992774454,0.00136612,0.012908125,0.105128696,1,2,0.607812646,52,331,0,0,0,2,0,0,0,0,not,not,not,not
1,2,2,0.12565805,0.00136612,0.085801063,0.218815865,1,1,0.605781405,NA,NA,0,0,0,2,1,0,0,0,regmedium,not,not,not
1,2,2,0.127418512,0.076502732,0.000759301,0.223861532,1,1,0.605761892,NA,NA,0,0,0,2,1,0,0,0,reglarge,not,not,not
1,2,2,0.127418512,0.00136612,0.08428246,0.218815865,1,2,0.60540668,NA,NA,0,0,0,2,0,0,0,0,implarge,not,not,not
1,3,4,1.782228719,0.005464481,0.008352316,0.190266335,1,2,0.605055015,0,18,0,0,0,3,0,1,0,0,not,reglarge,not,not
2,5,8,2.885372174,0.00204918,0.029612756,0.146260459,1,2,0.603681338,0,8,0,0,0,1,0,0,0,0,not,not,not,not
2,5,8,2.885372174,0.00204918,0.029612756,0.146260459,0,2,0.603681338,0,8,0,0,0,2,0,0,0,0,not,not,not,not
1,1,3,1.5058231,0.006147541,0.003796507,0.226288561,0,2,0.602923593,96,307,0,0,0,0,0,0,0,0,not,not,not,not
1,1,1,0,0.004781421,0.004555809,0.054480424,1,2,0.602928683,NA,NA,0,2,0,11,0,0,0,0,not,not,not,not
1,2,2,0.881290899,0.005464481,0.008352316,0.099891422,1,2,0.590888183,49,96,0,0,0,5,0,0,0,0,not,not,not,not
1,2,3,1.083823829,0.005464481,0.053151101,0.130548636,1,2,0.589913649,96,307,3,2,0,7,0,0,0,0,not,not,not,not
1,2,2,0.750270915,0.003415301,0.296127563,0.152711247,1,1,0.543323463,NA,NA,6,0,0,29,0,0,0,0,not,not,not,not
1,1,1,0,0.00273224,0.004555809,0.069489685,0,2,0.581514983,80,269,2,0,0,2,0,0,0,0,not,not,not,not
1,9,12,3.154486949,0.056693989,0.059225513,0.414191735,1,2,0.580395444,52,331,0,0,0,0,0,0,0,0,not,not,not,not
2,2,2,0.963335546,0.00273224,0.033409263,0.028805007,1,2,0.572862618,54,390,0,0,0,3,0,0,0,0,not,not,not,not
1,7,9,2.037981039,0.008196721,0.110098709,0.441719359,1,2,0.570279168,10,11,0,0,0,0,0,0,0,0,not,not,not,not
